ID,Product Name,Quantity,Unit,Date
P001,Fermented Black Beans,164.0,gr,2024-10-04
P002,Red Quinoa,74.0,ml,2024-10-03
P003,Ancho Chili Powder,96.0,gr,2024-10-18
P004,Spinach,80.0,ml,2024-09-23
P005,Arrowroot Powder,133.0,gr,2024-09-19
P006,Steamed Buns,197.0,gr,2024-09-30
P007,Thai Red Curry,50.0,gr,2024-09-25
P008,Yuzu Papaya Butter,52.0,ml,2024-09-19
P009,Dried Mango,76.0,gr,2024-10-13
P010,Canned Tuna,134.0,ml,2024-10-09
P011,Pumpernickel Bread,90.0,pieces,2024-09-26
P012,Cane Sugar,81.0,gr,2024-09-21
P013,Harissa Paste,122.0,ml,2024-09-19
P014,Cornichons,74.0,ml,2024-09-28
P015,Condensed Milk,138.0,ml,2024-10-12
P016,Coconut Cream,155.0,ml,2024-09-28
P017,Black Lentils,161.0,ml,2024-10-15
P018,Espresso Beans,158.0,gr,2024-10-10
P019,Lime Leaves,93.0,ml,2024-10-05
P020,Green Tea Powder,141.0,gr,2024-09-24
P021,Ladyfinger Cookies,191.0,pieces,2024-09-23
P022,Star Anise,82.0,gr,2024-10-04
P023,Rice Noodle Soup Base,197.0,ml,2024-10-07
P024,Khandvi,188.0,gr,2024-09-19
P025,Yakimeshi Kit,90.0,gr,2024-10-10
P026,Sesame Oil Paste Mix,81.0,gr,2024-10-03
P027,Bitter Melon Tea,192.0,ml,2024-09-19
P028,Halloumi Cheese,179.0,gr,2024-10-16
P029,Red Onion,52.0,pieces,2024-10-12
P030,Cardamom Powder,161.0,gr,2024-09-30
P031,Yellow Lentils,73.0,ml,2024-10-07
P032,Green Tea Essence,66.0,ml,2024-10-16
P033,Chili Garlic Powder,182.0,gr,2024-09-21
P034,Sichuan Spicy Bean Paste,127.0,ml,2024-09-24
P035,Fermented Soybean Paste Blend,91.0,ml,2024-10-15
P036,Black Cumin Seeds,100.0,gr,2024-09-25
P037,Raisins,181.0,gr,2024-10-09
P038,Green Lentils,125.0,ml,2024-09-28
P039,Paneer,50.0,pieces,2024-10-10
P040,Fermented Bean Curd,161.0,gr,2024-09-30
P041,Tomato Puree Powder,128.0,gr,2024-09-20
P042,Pickled Chinese Vegetables,135.0,gr,2024-10-01
P043,Shabu-Shabu,74.0,gr,2024-09-23
P044,Yuzu Basil Sauce,107.0,ml,2024-10-10
P045,Random Product 1,278.0,pieces,2024-10-05
P046,Random Product 2,397.0,ml,2024-09-30
P047,Random Product 3,776.0,pieces,2024-10-14
P048,Random Product 4,93.0,gr,2024-09-25
P049,Random Product 5,492.0,gr,2024-09-20
P050,Random Product 6,257.0,pieces,2024-09-19
P051,Random Product 7,831.0,pieces,2024-09-25
P052,Random Product 8,623.0,ml,2024-09-20
P053,Random Product 9,409.0,gr,2024-10-03
P054,Random Product 10,781.0,gr,2024-09-24
