learning_rate,discount_factor,epsilon,episodes,minimize_waste_score,count_expired_score
0.01,0.99,0.2,100,13.269833149554668,14.0
0.01,0.99,0.2,100,13.269833149554668,14.0
0.01,0.99,0.2,100,13.269833149554668,14.0
0.01,0.99,0.2,100,13.269833149554668,14.0
0.01,0.99,0.2,100,13.269833149554664,14.0
0.01,0.99,0.2,100,16.647995565354936,14.0
0.01,0.99,0.2,100,13.269833149554668,14.0
0.01,0.99,0.2,100,16.47782620791667,14.0
0.01,0.99,0.2,100,13.269833149554668,14.0
0.01,0.99,0.2,100,15.4246741178839,14.0
